,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
57,Senior Operational Information Management and Performance Reports Associate,World Food Program ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'microsoft office', 'management', 'english', 'operations']"
58,"Human Resources Assistant SC,L5",World Food Program ,"Cairo, Egypt ",Full Time,Not specified,Administration,"['Human Resources', 'IT/Software Development', 'human resources (hr)', 'microsoft office', 'recruitment', 'administration', 'hr', 'management', 'payroll']"
59,"Monitoring Assistant SC, L5",World Food Program ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'engineering', 'information technology (it)', 'microsoft office', 'computer science', 'administration', 'management', 'english']"
60,EH&S Supervisor (GHE),Air Products (Middle East) FZE ,"Duba, Saudi Arabia ",Full Time,Not specified,Quality,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'EHS', 'Engineering', 'Health &amp; Safety', 'Quality', 'Quality Control', 'Science', 'Manufacturing']"
61,Lead Planner,Air Products (Middle East) FZE ,"Duba, Saudi Arabia ",Full Time,Not specified,Logistics/Supply Chain,"['Marketing/PR/Advertising', 'Sales/Retail', 'supply chain', 'sales', 'planning', 'logistics']"
62,Project Site Logistics Coordinator,Air Products (Middle East) FZE ,"Duba, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'engineering', 'civil engineering', 'project management', 'construction', 'logistics', 'management', 'english']"
63,IT SYSTEMS ANALYST III,Yanbu Aramco Sinopec Refining Company (YASREF) ,"Yanbu, Saudi Arabia ",Full Time,Experienced,7+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'software development', 'software engineering', 'computer engineering', 'engineering', 'programming']"
64,Facility Security Manager,Air Products (Middle East) FZE ,"Jubail, Saudi Arabia ",Full Time,Not specified,Administration,"['Installation/Maintenance/Repair', 'Operations/Management', 'Security', 'Administration', 'Engineering', 'Facility Management', 'Maintenance', 'Management', 'Mechanical Engineering']"
65,Contract Manager,Air Products (Middle East) FZE ,"Riyadh, Saudi Arabia ",Full Time,Not specified,10+ Yrs of Exp,"['Accounting/Finance', 'Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Contracting', 'Engineering', 'Construction', 'Project Management', 'Management', 'Microsoft Office', 'Finance']"
66,Scaffolding Superintendent,Air Products (Middle East) FZE ,"Duba, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Quality', 'civil engineering', 'construction', 'engineering', 'hse']"
67,APQ Electrical Engineer,Air Products (Middle East) FZE ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Electrical Engineering', 'Engineering', 'AutoCAD', 'Maintenance', 'Electrical', 'Mechanical Engineering', 'Microsoft Office']"
68,Vendor / Shop Inspector,Air Products (Middle East) FZE ,"Khobar, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'engineering', 'autocad', 'mechanical engineering', 'architecture', 'construction', 'management', 'qc']"
69,Lifting Supervisor,Air Products (Middle East) FZE ,"Duba, Saudi Arabia ",Full Time,Not specified,Logistics/Supply Chain,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'engineering', 'mechanical engineering', 'manufacturing', 'erp']"
70,Senior Project Rotating Mechanical Engineer,Air Products (Middle East) FZE ,"Jizan, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'Mechanical Engineering', 'Engineering', 'HVAC', 'AutoCAD', 'Electrical Engineering', 'Mechanical', 'Project Management']"
71,APQ Buyer,Air Products (Middle East) FZE ,"Jubail, Saudi Arabia ",Full Time,Not specified,Logistics/Supply Chain,"['Purchasing/Procurement', 'Engineering - Mechanical/Electrical', 'suppliers', 'supplier', 'vendors', 'vendor', 'logistics']"
72,Senior Project Process Engineer,Air Products (Middle East) FZE ,"Jizan, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'Engineering', 'Project Management', 'Electrical Engineering', 'Mechanical Engineering', 'Software', 'Software Development', 'Software Engineering']"
73,Project Logistics Coordinator (HIDC),Air Products (Middle East) FZE ,"Duba, Saudi Arabia ",Full Time,Not specified,Administration,"['Logistics/Supply Chain', 'Project/Program Management', 'Project Management', 'Logistics', 'Administration', 'Microsoft Office', 'Supply Chain', 'Project Coordination', 'Information Technology (IT)']"
74,Mud Logger,Rawabi Holding Company ,"Riyadh, Saudi Arabia ",Full Time,Entry Level,IT/Software Development,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'drilling', 'logging', 'logs', 'logger', 'mud']"
75,"Research Specialist Level 1, Data Analysis",Weill Cornell Medicine,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'marketing', 'social media', 'market research', 'e-marketing', 'computer science', 'analysis', 'research']"
76,"Senior Lawyer, Legal Services",Al,"Kuwait City, Kuwait ",Full Time,Experienced,5+ Yrs of Exp,"['Customer Service/Support', 'Legal', 'Sales/Retail', 'sales', 'sales skills', 'real estate', 'sales target', 'legal', 'law', 'english']"
77,Cook - Zitouni,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'Cooking', 'Hospitality', 'Chef', 'Food', 'Hotels', 'Pastry', 'Kitchen']"
78,Business Development Manager,Emdad Recruitment ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Business Development,"['Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'Sales', 'Sales Skills', 'Sales Target', 'Marketing', 'Customer Service', 'Customer Support']"
79,Restaurant Supervisor - Raising Cane''s - Kuwait,Alshaya Trade ,"Kuwait City, Kuwait ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Sales Skills', 'FMCG', 'Restaurants', 'Cafe', 'Hospitality', 'Hotels']"
80,UAE National - Customer Support Executive,Bayut | dubizzle ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Marketing/PR/Advertising', 'Administration', 'Customer Care', 'Customer Support', 'Microsoft Office', 'Customer Service', 'Management', 'Admin']"
81,Electrical Engineer Level II,Worley Parsons ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'electrical engineering', 'engineering', 'mechanical engineering', 'computer science', 'electrical', 'technical support', 'quality']"
82,Machine Learning Engineering Manager,Yassir ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Analyst/Research', 'Engineering - Telecom/Technology', 'Python', 'Computer Science', 'Machine Learning', 'Information Technology (IT)', 'Software Engineering', 'C++', 'Mathematics']"
