,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
7403,Materials Manager,Rotana Hotel Management Corporation ,"Jeddah, Saudi Arabia ",Full Time,Not specified,Logistics/Supply Chain,"['Operations/Management', 'Manufacturing/Production', 'Supply Chain', 'Logistics', 'Engineering', 'Management', 'Production', 'Purchasing', 'Microsoft Office']"
7404,Admissions Secretary,GEMS Group Holdings Limited ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Education/Teaching', 'Administration', 'Secretary', 'Admission', 'Admin', 'Microsoft Office', 'Office Management', 'Education']"
7405,Piping Designers (Piping),MphExperts ,"Doha, Qatar ",Full Time,Not specified,Creative/Design/Art,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'Mechanical Engineering', 'Engineering', 'AutoCAD', 'Design', 'Piping', 'Project Management', 'Revit']"
7406,SENIOR CSSD TECHNICIAN,Emirates Group Careers ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'engineering', 'mechanical engineering', 'computer science', 'electrical engineering', 'health', 'implementation']"
7407,National Graduate Training Program - Business Development - Emirates Aviation University,Emirates Group Careers ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'customer service', 'sales', 'engineering', 'training', 'marketing']"
7408,Consultant Radiology with interest in MSK Radiology,Ash International ,"Medina, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Medical/Healthcare', 'Engineering - Telecom/Technology', 'medical', 'healthcare', 'computer science', 'doctor', 'medicine', 'radiology', 'surgery']"
7409,"Customer Service Advisor (French Speaker) - Cairo, Egypt",Farfetch ,"Cairo, Egypt ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Sales/Retail', 'Customer Service', 'Customer Support', 'Customer Care', 'Call Center', 'Communication Skills', 'Microsoft Office', 'Sales']"
7410,Mechanic,Japanese Tobacco International ,"Cairo, Egypt ",Full Time,Not specified,Installation/Maintenance/Repair,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Mechanical Engineering', 'Engineering', 'Electrical Engineering', 'Maintenance', 'Sales', 'Sales Skills', 'Microsoft Office']"
7411,COLD FOOD PREPARER,King Faisal Specialist Hospital & Research Centre ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Sales/Retail', 'sales', 'sales skills', 'sales target', 'customer service', 'food', 'production', 'chef']"
7412,Technician | Al Futtaim Automotive | FAMCO - Hino,Al Futtaim Group ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'sales', 'sales skills', 'indoor sales', 'outdoor sales', 'customer service', 'automotive', 'retail']"
7413,Process Designer (JO018498),MphExperts ,"Dubai, United Arab Emirates ",Full Time,Not specified,Creative/Design/Art,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Design', 'Engineering', 'Graphic Design', 'C#', 'Software Development']"
7414,Senior Occupational Therapist 2,Dubai Academic Health Corporation ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Education/Teaching', 'conflict resolution', 'customer handling', 'leadership skills', 'microsoft office']"
7415,TECHNICAL PUBLICATION CENTRE MANAGER,Emirates Group Careers ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'sales', 'sales skills', 'engineering', 'information technology (it)', 'management', 'operations', 'production']"
7416,Attendant-Housekeeping,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'administration', 'hospitality', 'housekeeping', 'hotels', 'maintenance', 'management', 'quality']"
7417,Design Technology and Science Technician - Al Mamoura Academy - AY 2023/2024,PriorySouthsea ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'computer science', 'information technology (it)', 'software development', 'software engineering', 'design', 'maintenance', 'quality']"
7418,Manager- Vendor Performance,First Abu Dhabi Bank ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Human Resources,"['Logistics/Supply Chain', 'Media/Journalism/Publishing', 'Supply Chain', 'Logistics', 'Human Resources (HR)', 'Performance Management', 'Vendor Management', 'Vendor', 'Engineering']"
7419,Offshore E&I Supervisor (09/08/2023),MphExperts ,"Doha, Qatar ",Full Time,Not specified,Operations/Management,"['Quality', 'Engineering - Mechanical/Electrical', 'hse', 'microsoft office', 'engineering', 'health &amp; safety', 'quality', 'management', 'construction']"
7420,Systems Engr II (FAS/PAVA/BMS),Honeywell International Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'sql', 'engineering', 'software', 'design', 'development']"
7421,Senior Corporate Medical Director,Mediclinic International ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Marketing/PR/Advertising', 'Sales/Retail', 'sales', 'sales skills', 'microsoft office', 'marketing', 'medical', 'management', 'administration']"
7422,Process Analyst - Emaar,ECS ME ,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,"['IT/Software Development', 'Analyst/Research', 'Computer Science', 'Analysis', 'Analyst', 'Business Analysis', 'Business Analyst', 'Information Technology (IT)', 'Business']"
7423,Process Engineer (JO018497),MphExperts ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Mechanical Engineering', 'Production', 'Software Engineering', 'Software Development']"
7424,Junior Pharmacist,NMC Hospital ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,R&D/Science,"['Analyst/Research', 'Pharmaceutical', 'pharmacy', 'science', 'research', 'analysis']"
7425,School Doctor-British curriculum school,Apple School ,"Dubai, United Arab Emirates ",Full Time,Not specified,Operations/Management,"['Medical/Healthcare', 'Education/Teaching', 'Medical', 'Healthcare', 'Medicine', 'Doctor', 'School Doctor', 'Education', 'English']"
7426,Graphic designer,Al Nahiya Group ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Creative/Design/Art,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Graphic Design', 'Adobe Photoshop', 'Design', 'Adobe Illustrator', 'Adobe Indesign', 'Marketing', 'Social Media']"
7427,HOSPITAL ASSISTANT II,King Faisal Specialist Hospital & Research Centre ,"Medina, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Medical/Healthcare', 'Engineering - Telecom/Technology', 'computer science', 'information technology (it)', 'medical', 'microsoft office', 'administration', 'english', 'quality']"
7428,Senior Sales Executive_kraft bag division,Reliance HR Consultancy ,"Sharjah, United Arab Emirates ",Full Time,Not specified,Human Resources,"['Marketing/PR/Advertising', 'Sales/Retail', 'sales', 'sales skills', 'marketing', 'business development', 'customer service', 'crm', 'ms office']"
7429,Teacher-Mathematics- Al Mamoura Academy (AY2023-2024),PriorySouthsea ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Education/Teaching,"['Training/Instructor', 'education', 'pe', 'physics', 'physics teaching', 'teaching']"
7430,"Data and Analytics Specialist,",Madison Pearl ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['IT/Software Development', 'Analyst/Research', 'Data Entry', 'Administration', 'Microsoft Office', 'Admin', 'Computer Skills', 'Information Technology (IT)', 'Typing']"
7431,TalentS // QA / QC Manager,BARKER LANGHAM ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Operations/Management', 'Quality', 'Quality Assurance', 'Quality Control', 'Civil Engineering', 'Construction', 'Quality', 'Architecture', 'Engineering']"
7432,Branch Manager,Agile Consultants ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Sales/Retail', 'Sales', 'Sales Skills', 'Customer Service', 'Branch Management', 'Operations', 'Sales Target', 'Customer Care']"
7433,Sales Specialist (Excitation Products),CATS Applicant Tracking System ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Real Estate']"
7434,SENIOR AVIATION BROKER / SPECIALIST – SAUDI ARABIA,Air Charter Service Canada ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Engineering - Telecom/Technology', 'accounting', 'commerce', 'finance', 'mba', 'business', 'development', 'sales']"
7435,Senior Process Safety Engineer,CATS Applicant Tracking System ,"Jizan, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'engineering', 'information technology (it)', 'computer science', 'software development', 'mechanical engineering', 'management', 'safety']"
7436,Call Center Admin - Health Care,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Sales/Retail', 'Customer Service', 'Customer Support', 'Customer Care', 'Call Center', 'Microsoft Office', 'Communication Skills', 'Contact Center']"
7437,District Manager - Starbucks - Qatar,Alshaya Group ,"Doha, Qatar ",Full Time,Not specified,Medical/Healthcare,"['Sales/Retail', 'Pharmaceutical', 'Sales', 'Sales Skills', 'Pharmacy', 'Sales Target', 'Medical Sales', 'Science', 'Management']"
7438,AFCAP V UAE: Escort - IDIQ,KBR Inc. ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Sales/Retail', 'escorting', 'escorts', 'escort', 'personnel', 'afcap']"
7439,Consultant Pulmonology/Sleep Med,Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Medical/Healthcare,"['Sales/Retail', 'Engineering - Telecom/Technology', 'hospitalcontract', 'hospital', 'hospitalwith', 'consultant', 'riyadh']"
7440,Filipino Housekeeper,"GreatAuPair, LLC ","Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Sales/Retail', 'descriptionhouse', 'housing', 'homes', 'townhomes', 'apartments']"
7441,National Graduate Training Program - Customer Affairs (Psychology/Social Studies),Emirates Group Careers ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'customer service', 'sales', 'training', 'legal', 'audit']"
7442,Services Supply Chain Project Expert • Logistics,Schneiderelectricrepair ,"Cairo, Egypt ",Full Time,Not specified,Logistics/Supply Chain,"['Operations/Management', 'Purchasing/Procurement', 'supply chain', 'logistics', 'purchasing', 'procurement', 'sales', 'operations', 'english']"
7443,SQE Team Leader,General Motors Co. ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Information Technology (IT)', 'Computer Science', 'Customer Service', 'Real Estate']"
7444,"Sous Chef, Gastronomy",Kerzner International Management ,"Dubai, United Arab Emirates ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Tourism/Travel', 'Chef', 'Microsoft Office', 'Sous Chef', 'Culinary Science', 'Kitchen', 'Restaurant', 'Hotels', 'Restaurant Management Software']"
7445,Waiter - P.F. Chang''s - Kuwait,Alshaya Group ,"Kuwait City, Kuwait ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Hospitality/Hotels/Food Services', 'Hospitality', 'Customer Service', 'Hotel', 'Waiter', 'waiter', 'Restaurants', 'Bar']"
7446,Electrician,NMC Hospital ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical', 'engineering', 'administration', 'microsoft office', 'maintenance', 'electrical']"
7447,National Graduate Training Program - Sales Support Manager,Emirates Group Careers ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'customer service', 'sales', 'training', 'travel', 'business']"
7448,Consultant Nephrology (Dialysis Centre),Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Medical/Healthcare,"['medical', 'dermatology', 'doctor', 'ct', 'cardiac', 'nephrology']"
7449,Specialist- Credit Management (UAE National),First Gulf Bank PJSC ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Customer Service/Support', 'Marketing/PR/Advertising', 'Finance', 'Accounting', 'Customer Service', 'Microsoft Office', 'Marketing', 'English', 'Project Management']"
7450,Continuous Improvement & Transformation Manager,Qatar Airways ,"Doha, Qatar ",Full Time,Not specified,Manufacturing/Production,"['Quality', 'Engineering - Mechanical/Electrical', 'Engineering', 'Six Sigma', 'Continuous Improvement', 'English', 'Lean', 'Microsoft Office', 'Black Belt']"
7451,Steward Attendant,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Marketing/PR/Advertising', 'catering', 'customer care', 'customer service', 'customer support', 'food and beverage', 'hiring', 'hotel']"
7452,VISA LIAISON,King Faisal Specialist Hospital & Research Centre ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Tourism/Travel', 'administration', 'admin', 'microsoft office', 'office management', 'visa']"
7453,Lead Instrumentation Engineer (10/08/2023),MphExperts ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Development', 'Software Engineering', 'Software', 'Electrical Engineering']"
7454,Consultant Breast Radiology,Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Medical/Healthcare', 'Engineering - Telecom/Technology', 'medical', 'healthcare', 'computer science', 'doctor', 'cardiac']"
7455,Lead BIM Engineer,UrbaCon Contracting & Trading Company ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Development', 'Software Engineering', 'BIM', 'Construction']"
7456,"Analyst, Strategic Consulting",Jones Lang LaSalle Incorporated ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['IT/Software Development', 'Analyst/Research', 'Computer Science', 'Information Technology (IT)', 'AWS', 'Business Analysis', 'Engineering', 'SAP', 'AML']"
7457,Associate Business Director - Communications,Publicis Group ,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Business Development', 'Marketing', 'Sales Skills', 'Customer Service', 'Sales Target', 'Customer Care', 'Customer Support']"
7458,HIS Implementation Consultant,IQVIA Holdings Inc. ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'ERP', 'Computer Science', 'Accounting', 'Implementation', 'Engineering', 'Software']"
7459,Associate Business Director - Media,Publicis Group ,"Dubai, United Arab Emirates ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Business Development', 'Marketing', 'Sales Skills', 'Customer Service', 'Sales Target', 'Customer Care', 'Customer Support']"
7460,"Systems Engr II (SMS, CCTV, ACS, PSIM)",Honeywell International Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'sql', 'engineering', 'software', 'design', 'development']"
7461,Senior BI Analyst,Concentrix Corporation ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Analyst/Research', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Analysis', 'Business Analysis', 'Finance', 'Software Development', 'Accounting']"
7462,Consultant Paediatric Haematology/Oncology,Ash International ,"Medina, Saudi Arabia ",Full Time,Not specified,Medical/Healthcare,"['doctor', 'healthcare', 'medical', 'pharmacy']"
7463,Housekeeping Supervisor,Rotana Hotel Management Corporation ,"Sharjah, United Arab Emirates ",Full Time,Not specified,Administration,"['Hospitality/Hotels/Food Services', 'Hospitality', 'Housekeeping', 'Administration', 'Hotels', 'Admin', 'Cleaning Products', 'Cleanliness', 'Communication Skills']"
7464,Consultant Nephrology,Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Medical/Healthcare,"['medical', 'dermatology', 'doctor', 'ct', 'cardiac']"
7465,Housekeeping Coordinator,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'administration', 'management', 'microsoft office', 'office management', 'housekeeping', 'maintenance', 'engineering']"
7466,Sales Executive - New Cars | Al Futtaim Automotive | Domasco | Honda,Al Futtaim Group ,"Doha, Qatar ",Full Time,Not specified,Business Development,"['Customer Service/Support', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Customer Support', 'Customer Care', 'Microsoft Office']"
7467,Housekeeping Supervisor - Marriott Resort Palm Jumeirah,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Hospitality/Hotels/Food Services', 'Hospitality', 'Housekeeping', 'Administration', 'Hotels', 'Admin', 'Cleaning Products', 'Cleanliness', 'Communication Skills']"
7468,Infrastructure Team Leader,Progressive GE ,"Riyadh, Saudi Arabia ",Full Time,Experienced,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Information Technology (IT)', 'Computer Science', 'Customer Service', 'Real Estate']"
7469,Senior/Staff/Senior Staff Data Science & Process Automation Engineer,Si,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Quality', 'Engineering - Telecom/Technology', 'computer science', 'information technology (it)', 'software development', 'engineering', 'computer engineering', 'sql', 'software']"
7470,Systems Engineer 1 (CCTV/ACS),Honeywell International Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Computer Engineering', 'Installation', 'Linux', 'Maintenance']"
7471,Consultant Infertility,Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'consultant', 'infertilityjob', 'saudi', 'riyadh', 'riyadhjob']"
7472,Consultant Emergency Medicine,Ash International ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Medical/Healthcare', 'Engineering - Telecom/Technology', 'medical', 'medicine', 'information technology (it)', 'engineering', 'healthcare', 'consultant', 'ambulance']"
7473,Engineer - Application Support,MRSOOL Inc ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Development', 'Software Engineering', 'Computer Engineering', 'Mechanical Engineering']"
7474,Food & Beverage Service Expert (Team Leader),"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Doha, Qatar ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Operations/Management', 'Sales/Retail', 'Food', 'Sales', 'FMCG', 'Sales Skills', 'Customer Service', 'Food &amp; Beverage', 'Sales Target']"
7475,Security Engineer,Cenomi Group ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Security', 'Computer Engineering', 'Software Engineering', 'Networking']"
7476,Senior Backend Software Engineer,Si,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Quality', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Engineering', 'Computer Engineering', 'Software Testing']"
7477,Risk Engineer,alfanar Group ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Project/Program Management', 'Engineering - Telecom/Technology', 'Engineering', 'Risk Assessment', 'Project Management', 'Risk Management', 'Computer Science', 'Information Technology (IT)', 'Quality']"
7478,Repair Tendering Administrator,Kone Ag ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'administration', 'microsoft office', 'engineering', 'information technology (it)', 'maintenance', 'sales', 'admin']"
7479,Consultant Hepatology & Liver Transplantation,Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Medical/Healthcare,"['Sales/Retail', 'Pharmaceutical', 'transplantationjob', 'consultant', 'qualifications', 'qualification', 'transplantationlocationriyadhjob']"
7480,Customer Onboarding Specialist,Easygenerator ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Logistics/Supply Chain', 'Sales/Retail', 'Customer Service', 'Customer Care', 'Customer Support', 'Call Center', 'Microsoft Office', 'Sales', 'Communication Skills']"
7481,Business Development Manager (Data prote...,Ingram Micro Inc. ,"Doha, Qatar ",Full Time,Not specified,Business Development,"['Marketing/PR/Advertising', 'Sales/Retail', 'Business Development', 'Sales', 'Sales Skills', 'Sales Target', 'Marketing', 'Customer Service', 'Customer Support']"
7482,Senior Planning Engineer M/F,Egis Group ,"Kuwait City, Kuwait ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'Engineering', 'Planning', 'Project Management', 'Civil Engineering', 'Primavera', 'Construction', 'Architecture']"
7483,Human Resources Officer - Saudi National,Rotana Hotel Management Corporation ,"Jeddah, Saudi Arabia ",Full Time,Not specified,Administration,"['Human Resources', 'Operations/Management', 'Human Resources (HR)', 'Recruitment', 'Microsoft Office', 'Personnel', 'Administration', 'Labor Law', 'HR']"
7484,Finance & Operations Specialist,Charterhouse Middle East ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Operations/Management', 'Analyst/Research', 'Finance', 'Accounting', 'Financial Analysis', 'Financial Management', 'Microsoft Office', 'Commerce', 'Microsoft Excel']"
7485,Commi II - P.F. Chang''s - Kuwait,Alshaya Group ,"Kuwait City, Kuwait ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Operations/Management', 'Sales/Retail', 'restaurant', 'cuisine', 'restaurants', 'kuwaitjob', 'dining']"
7486,Consultant Obstetrics and Gynaecology (Female),Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Operations/Management,"['Medical/Healthcare', 'medical', 'doctor', 'medicine', 'msf', 'gynaecology', 'obstetrics', 'healthcare', 'hospital']"
7487,Consultant Echo Cardiology,Ash International ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Medical/Healthcare', 'Engineering - Telecom/Technology', 'medical', 'computer science', 'dermatology', 'doctor', 'cardiac', 'cardiology']"
7488,Housemaid - Private Residence (Russian Speaker),Fundamental Hospitality ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Hospitality/Hotels/Food Services', 'Sales/Retail', 'hospitality', 'uae', 'dubai', 'maison', 'riyadh']"
7489,ARCHITECT I,King Faisal Specialist Hospital & Research Centre ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Project/Program Management', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'computer engineering', 'design', 'architecture', 'development']"
7490,Fabrication Engineer,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Engineering', 'Mechanical Engineering', 'Production', 'Fabrication', 'Steel Fabrication', 'AutoCAD', 'Civil Engineering']"
7491,Hotel Cleanliness Supervisor (Housekeeping Supervisor),"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C. ","Doha, Qatar ",Full Time,Not specified,Administration,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'administration', 'customer service', 'hospitality', 'hotels', 'management', 'engineering', 'housekeeping']"
7492,Executive Director- Contracting,First Gulf Bank PJSC ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Engineering - Construction/Civil/Architecture', 'Operations/Management', 'Administration', 'Admin', 'Business Development', 'Microsoft Office', 'English', 'Secretary', 'Management']"
7493,SAP Lead MEA,DXC.technology ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'SAP', 'Computer Science', 'ABAP', 'Engineering', 'Implementation', 'Java']"
7494,Specialist - Talent Development Center,Roads and Transport Authority ,"Dubai, United Arab Emirates ",Full Time,Not specified,Marketing/PR/Advertising,"['Sales/Retail', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Sales', 'Microsoft Office', 'E-marketing', 'Sales Skills', 'Media']"
7495,Assistant Technician - Airfield Lighting System,Dubai Airports ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Mechanical/Electrical', 'engineering', 'information technology (it)', 'computer science', 'maintenance', 'software', 'it', 'technical']"
7496,Agile Coach – Banking,Salt Search Ltd ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'agile', 'software development', 'banking', 'management', 'performance']"
7497,Telephone Operator - UAE National,Rotana Hotel Management Corporation ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Tourism/Travel', 'administration', 'microsoft office', 'office management', 'secretary', 'communication skills', 'management', 'hospitality']"
7498,Manager Procurement Systems,Etihad Airways ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Logistics/Supply Chain,"['Operations/Management', 'Purchasing/Procurement', 'Procurement', 'Purchasing', 'Supply Chain', 'Engineering', 'Logistics', 'Management', 'Information Technology (IT)']"
7499,"Senior Manager, Cloud Infrastructure Engineering",Neworleansbio ,"Cairo, Egypt ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Cloud', 'Infrastructure', 'Software Development', 'Software Engineering']"
7500,Senior Portfolio Manager,Salt Search Ltd ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Project/Program Management', 'Sales/Retail', 'Sales', 'Sales Skills', 'Customer Service', 'Project Management', 'Marketing', 'Information Technology (IT)', 'Customer Support']"
7501,Front Desk Manager,Rotana Hotel Management Corporation ,"Jeddah, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Hospitality/Hotels/Food Services', 'Administration', 'Office Management', 'Front Desk', 'Microsoft Office', 'Secretary', 'Admin', 'Customer Service']"
7502,"Head of QHSE Suez, Egypt Posted on 08/09/2023 Be the First to Apply",DP World Limited ,"Suez, Egypt ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Engineering - Telecom/Technology', 'inspections', 'management', 'managing', 'leadership', 'audits']"
